Name,Armor Class,Hit Points,Speed,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Skills,Damage Immunities,Damage Resistances,Damage Vulnerabilities,Condition Immunities,Senses,Languages,Challenge,attacks&moves,Hit Dice,Armor Note
Grell,12,55,"10 ft., fly 30 ft. (hover)",15,14,13,12,11,9,,"Perception +4, Stealth +6",lightning,None,None,"linded, prone",lindsight 60 ft. (blind beyond this radius),Grell,3 (700 XP),"{'Multiattack': 'The grell makes two attacks: one with its tentacles and one with its beak.', 'Tentacles': ""Melee Weapon Attack: +4 to hit, reach 10 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The poisoned target is paralyzed, and it can repeat the saving throw at the end of each of its turns, ending the effect on a success.\n\nThe target is also grappled (escape DC 15). If the target is Medium or smaller, it is also restrained until this grapple ends. While grappling the target, the grell has advantage on attack rolls against it and can 't use this attack against other targets. When the grell moves, any Medium or smaller target it is grappling moves with it."", 'Beak': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (2d4 + 2) piercing damage.'}",10d8+10,None
Grick,14,27,"30 ft., climb 30 ft.",14,14,11,3,14,5,,,None,"ludgeoning, piercing, and slashing damage from nonmagical weapons",None,None,darkvision 60 ft.,,2 (450 XP),"{'Stone Camouflage': 'The grick has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.', 'Multiattack': 'The grick makes one attack with its tentacles. If that attack hits, the grick can make one beak attack against the same target.', 'Tentacles': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.', 'Beak': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.'}",6d8,natural armor
Grick Alpha,18,75,"30 ft., climb 30 ft.",18,16,15,4,14,9,,,None,"ludgeoning, piercing, and slashing damage from nonmagical weapons",None,None,darkvision 60 ft.,,"7 (2,900 XP)","{'Stone Camouflage': 'The grick has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.', 'Multiattack': 'The grick makes two attacks: one with its tail and one with its tentacles. If it hits with its tentacles, the grick can make one beak attack against the same target.', 'Tail': 'Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.', 'Tentacles': 'Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 22 (4d8 + 4) slashing damage.', 'Beak': 'Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 13 (2d8 + 4) piercing damage.'}",10d10+20,natural armor
Griffon,12,59,"30 ft., fly 80 ft.",18,15,16,2,13,8,,Perception +5,None,None,None,None,darkvision 60 ft.,,2 (450 XP),"{'Keen Sight': 'The griffon has advantage on Wisdom (Perception) checks that rely on sight.', 'Multiattack': 'The griffon makes two attacks: one with its beak and one with its claws.', 'Beak': 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.', 'Claws': 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.'}",7d10+21,None
Grimlock,11,11,30 ft.,16,12,12,9,8,6,,"Athletics +5, Perception +3, Stealth +3",linded,None,None,None,lindsight 30 ft. or 10 ft. while deafened (blind beyond this radius),Undercommon,1/4 (50 XP),"{'Blind Senses': ""The grimlock can't use its blindsight while deafened and unable to smell."", 'Keen Hearing and Smell': 'The grimlock has advantage on Wisdom (Perception) checks that rely on hearing or smell.', 'Stone Camouflage': 'The grimlock has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.', 'Spiked Bone Club': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage plus 2 (1d4) piercing damage.'}",2d8+2,None
Grisha,18,33,30 ft.,14,12,12,11,14,16,"Wis +4, Cha +5","Persuasion +5, Religion +2",None,None,None,None,,"Common, Undercommon",2 (450 XP),"{'Spellcasting': 'Grisha is a 6th-level-spellcaster. His spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). He has the following cleric spells prepared:\n\nCantrips (at will): guidance, light, sacred flame, thaumaturgy\n\n1st level (4 slots): cure wounds, divine favor, inflict wounds, protection from good, shield of faith\n\n2nd level (3 slots): continual flame, hold person, magic weapon, spiritual weapon\n\n3rd level (3 slots): bestow curse, dispel magic, spirit guardian', 'Multiattack': 'Grisha makes two attacks with his +1 flail.', '+1 Flail': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit:7 (1d8 + 3) bludgeoning damage\n\nSource:Out of the Abyss'}",6d8+6,"chain mail, shield"
Grung,12,11,"25 ft., climb 25 ft.",7,14,15,10,11,10,Dex +4,"Athletics +2, Perception +2, Stealth +4, Survival +2",poison,None,None,poisoned,,Grung,1/4 (50 XP),"{'Amphibious': 'The grung can breathe air and water.', 'Poisonous Skin': ""Any creature that grapples the grung or otherwise comes into direct contact with the grung's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with the grung can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."", 'Standing Leap': ""The grung's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start."", 'Variant: Grung Poison': 'Grung poison loses its potency 1 minute after being removed from a grung. A similar breakdown occurs if the grung dies.', 'Dagger': ""Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft, one target. Hit: 4 (1d4+2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or take 5 (2d4) poison damage.\n\nSource:Volo's Guide to Monsters""}",2d6+4,None
Grung Elite Warrior,13,49,"25 ft., climb 25 ft.",7,16,15,10,11,12,Dex +5,"Athletics +2, Perception +2, Stealth +5, Survival +2",poison,None,None,poisoned,,Grung,2 (450 XP),"{'Amphibious': 'The grung can breathe air and water.', 'Poisonous Skin': ""Any creature that grapples the grung or otherwise comes into direct contact with the grung's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with the grung can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."", 'Standing Leap': ""The grung's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start."", 'Variant: Grung Poison': 'Grung poison loses its potency 1 minute after being removed from a grung. A similar breakdown occurs if the grung dies.', 'Dagger': 'Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 it, one target. Hit: 5 (1d4+3) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or take 5 (2d4) poison damage.', 'Shortbow': 'Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6+3) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or take 5 (2d4) poison damage.', 'Mesmerizing Chirr (Recharge 6)': ""The grung makes a chirring noise to which grungs are immune. Each humanoid or beast that is within 15 feet of the grung and able to hear it must succeed on a DC 12 Wisdom saving throw or be stunned until the end of the grung's next turn.\n\nSource:Volo's Guide to Monsters""}",9d6+18,None
Grung Wildling,13,27,"25 ft., climb 25 ft.",7,16,15,10,15,11,Dex +5,"Athletics +2, Perception +4, Stealth +5, Survival +4",poison,None,None,poisoned,,Grung,1 (200 XP),"{'Amphibious': 'The grung can breathe air and water.', 'Poisonous Skin': ""Any creature that grapples the grung or otherwise comes into direct contact with the grung's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with the grung can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."", 'Spellcasting': 'The grung is a 9th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). It knows the following ranger spells: \n\n1st level (4 slots): cure wounds, jump\n\n2nd level (3 slots): barkskin, spike growth\n\n3rd level (2 slots): plant growth', 'Standing Leap': ""The grung's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start."", 'Variant: Grung Poison': 'Grung poison loses its potency 1 minute after being removed from a grung. A similar breakdown occurs if the grung dies.', 'Dagger': 'Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4+3) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or take 5 (2d4) poison damage.', 'Shortbow': ""Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6+3) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or take 5 (2d4) poison damage.\n\nSource:Volo's Guide to Monsters""}",5d6+10,16 with barkskin
Guard,16,11,30 ft.,13,12,12,10,11,10,,Perception +2,None,None,None,None,,any one language (usually Common),1/8 (25 XP),"{'Spear': 'Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.'}",2d8+2,"chain shirt, shield"
Guard Drake,14,52,30 ft.,16,11,16,4,10,7,,Perception +2,None,None,None,None,darkvision 60 ft.,understands Draconic but can't speak it,2 (450 XP),"{'Multiattack': 'The drake attacks twice, once with its bite and once with its tail.', 'Bite': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8+3) piercing damage.', 'Tail': ""Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6+3) bludgeoning damage.\n\nSource:Volo's Guide to Monsters""}",7d8+21,natural armor
Guardian Naga,18,127,40 ft.,19,18,16,16,19,18,"Dex +8, Con +7, Int +7, Wis +8, Cha +8",,poison,None,None,"charmed, poisoned",darkvision 60 ft.,"Celestial, Common","10 (5,900 XP)","{'Rejuvenation': 'If it dies, the naga returns to life in 1d6 days and regains all its hit points. Only a wish spell can prevent this trait from functioning.', 'Spellcasting': 'The naga is an 11th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 16, +8 to hit with spell attacks), and it needs only verbal components to cast its spells. It has the following cleric spells prepared: \n\nCantrips (at will): mending, sacred flame, thaumaturgy\n1st level (4 slots): command, cure wounds, shield of faith\n2nd level (3 slots): calm emotions, hold person\n3rd level (3 slots): bestow curse, clairvoyance\n4th level (3 slots): banishment, freedom of movement\n5th level (2 slots): flame strike, geas\n6th level (1 slot): true seeing', 'Bite': 'Melee Weapon Attack: +8 to hit, reach 10 ft., one creature. Hit: 8 (1d8 + 4) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 45 (10d8) poison damage on a failed save, or half as much damage on a successful one.', 'Spit Poison': 'Ranged Weapon Attack: +8 to hit, range 15/30 ft., one creature. Hit: The target must make a DC 15 Constitution saving throw, taking 45 (10d8) poison damage on a failed save, or half as much damage on a successful one.'}",15d10+45,natural armor
Guardian Portrait,5,22,0 ft.,1,1,10,14,10,10,,,poison,None,None,"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",darkvision 60 ft.,"Common, plus up to two other languages",1 (200 XP),"{'Constructed Nature': ""An animated object doesn't require air, food, drink, or sleep."", 'Antimagic Susceptibility': ""The portrait is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the portrait must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute."", 'Innate Spellcasting': ""The portrait's innate spellcasting ability os Intelligence (spell save DC 12). The portrait can innately cast the following spells, requiring no material components:"", 'False Appearance': 'While the figure in the portrait remains motionless, it is indistinguishable from a normal painting.\n\nSource:Curse of Strahd'}",5d8,natural armor
Gynosphinx,17,136,"40 ft., fly 60 ft.",18,15,16,18,18,18,,"Arcana +12, History +12, Perception +8, Religion +8",psychic,"ludgeoning, piercing, and slashing from nonmagical weapons",None,"charmed, frightened",truesight 120 ft.,"Common, Sphinx","11 (7,200 XP)","{'Inscrutable': ""The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage."", 'Magic Weapons': ""The sphinx's weapon attacks are magical."", 'Spellcasting': 'The sphinx is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following wizard spells prepared: \n\nCantrips (at will): mage hand, minor illusion, prestidigitation\n1st level (4 slots): detect magic, identify, shield\n2nd level (3 slots): darkness, locate object, suggestion\n3rd level (3 slots): dispel magic, remove curse, tongues\n4th level (3 slots): banishment, greater invisibility\n5th level (1 slot): legend lore', 'Multiattack': 'The sphinx makes two claw attacks.', 'Claw': 'Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage.', 'Legendary Actions': ""The gynosphinx can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature's turn. The gynosphinx regains spent legendary actions at the start of its turn."", 'Claw Attack': 'The sphinx makes one claw attack.', 'Teleport (Costs 2 Actions)': 'The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.', 'Cast a Spell (Costs 3 Actions)': 'The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.'}",16d10+48,natural armor
Hadrosaurus,11,19,40 ft.,15,10,13,2,10,5,,Perception +2,None,None,None,None,,,1/4 (50 XP),"{'Tail': ""Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10+2) bludgeoning damage.\n\nSource:Volo's Guide to Monsters""}",3d10+3,natural armor
Half-Ogre (Ogrillon),12,30,30 ft.,17,10,14,7,9,10,,,None,None,None,None,darkvision 60 ft.,"Common, Giant",1 (200 XP),"{'Battleaxe': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) slashing damage, or 14 (2d10 + 3) slashing damage if used with two hands.', 'Javelin': 'Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 10 (2d6 + 3) piercing damage.'}",4d10+8,hide armor
Half-Red Dragon Veteran,18,65,30 ft.,16,13,14,10,11,10,"Str +5, Con +4","Athletics +5, Perception +2",None,fire,None,None,"lindsight 10 ft., darkvision 60 ft.","Common, Draconic","5 (1,800 XP)","{'Multiattack': 'The veteran makes two longsword attacks. If it has a shortsword drawn, it can also make a shortsword attack.', 'Longsword': 'Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands.', 'Shortsword': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.', 'Heavy Crossbow': 'Ranged Weapon Attack: +3 to hit, range 100/400 ft., one target. Hit: 6 (1d10 + 1) piercing damage.', 'Fire Breath (Recharge 5-6)': 'The veteran exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 24 (7d6) fire damage on a failed save, or half as much damage on a successful one.'}",10d8+20,plate
Harpy,11,38,"20 ft., fly 40 ft.",12,13,12,7,10,13,,,None,None,None,None,,Common,1 (200 XP),"{'Multiattack': 'The harpy makes two attacks: one with its claws and one with its club.', 'Claws': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.', 'Club': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.', 'Luring Song': ""The harpy sings a magical melody. Every humanoid and giant within 300 ft. of the harpy that can hear the song must succeed on a DC 11 Wisdom saving throw or be charmed until the song ends. The harpy must take a bonus action on its subsequent turns to continue singing. It can stop singing at any time. The song ends if the harpy is incapacitated.\n\n     While charmed by the harpy, a target is incapacitated and ignores the songs of other harpies. If the charmed target is more than 5 ft. away from the harpy, the must move on its turn toward the harpy by the most direct route. It doesn't avoid opportunity attacks, but before moving into damaging terrain, such as lava or a pit, and whenever it takes damage from a source other than the harpy, a target can repeat the saving throw. A creature can also repeat the saving throw at the end of each of its turns. If a creature's saving throw is successful, the effect ends on it.\n\n     A target that successfully saves is immune to this harpy's song for the next 24 hours.""}",7d8+7,None
Hawk,13,1,"10 ft., fly 60 ft.",5,16,8,2,14,6,,Perception +4,None,None,None,None,,,0 (10 XP),"{'Keen Sight': 'The hawk has advantage on Wisdom (Perception) checks that rely on sight.', 'Talons': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 slashing damage.'}",1d4-1,None
Hell Hound,15,45,50 ft.,17,12,14,6,13,6,,Perception +5,fire,None,None,None,darkvision 60 ft.,understands Infernal but can't speak it,3 (700 XP),"{'Keen Hearing and Smell': 'The hound has advantage on Wisdom (Perception) checks that rely on hearing or smell.', 'Pack Tactics': ""The hound has advantage on an attack roll against a creature if at least one of the hound's allies is within 5 ft. of the creature and the ally isn't incapacitated."", 'Bite': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 7 (2d6) fire damage.', 'Fire Breath (Recharge 5-6)': 'The hound exhales fire in a 15-foot cone. Each creature in that area must make a DC 12 Dexterity saving throw, taking 21 (6d6) fire damage on a failed save, or half as much damage on a successful one.'}",7d8+14,natural armor
Hellenrae,16,78,30 ft.,13,18,14,10,15,13,,"Acrobatics +7, Athletics +4, Insight +5, Perception +5",poison,None,None,"linded, poisoned",lindsight 60 ft. (blind beyond this radius),"Common, Terran","5 (1,800 XP)","{'Evasion': 'If Hellenrae is subjected to an effect that allows her to make a Dexterity saving throw to take only half damage, she instead takes no damage if she succeeds on the saving throw, and only half damage if she fails.', 'Stunning Strike (Recharge 5-6)': ""When Hellenrae hits a target with a melee weapon attack, the target must succeed on a DC 13 Constitution saving throw or be stunned until the end of Hellenrae's next turn."", 'Unarmored Defense': 'While Hellenrae is wearing no armor and wielding no shield, her AC includes her Wisdom modifier.', 'Unarmored Movement': 'While Hellenrae is wearing no armor and wielding no shield, her speed increases by 20 feet (included in her speed).', 'Multiattack': 'Hellenrae makes three melee attacks.', 'Unarmed Strike': 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) bludgeoning damage.', 'Parry and Counter': 'Hellenrae adds 3 to her AC against one melee or ranged weapon attack that would hit her. To do so, she must be able to sense the attacker with her blindsight. If the attack misses, Hellenrae can make one melee attack against the attacker if it is within her reach.\n\nSource:Prince of the Apocalypse'}",12d8+24,None
Helmed Horror,20,60,"30 ft., fly 30 ft.",18,13,16,10,10,10,,Perception +4,"force, necrotic, poison","ludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine",None,"linded, charmed, deafened, frightened, paralyzed, petrified, poisoned, stunned",lindsight 60 ft. (blind beyond this radius),understands the languages of its creator but can't speak,"4 (1,100 XP)","{'Magic Resistance': 'The helmed horror has advantage on saving throws against spells and other magical effects.', 'Spell Immunity': 'The helmed horror is immune to three spells chosen by its creator. Typical immunities include fireball, heat metal, and lightning bolt.', 'Multiattack': 'The helmed horror makes two longsword attacks.', 'Longsword': 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage, or 9 (1d10 + 4) slashing damage if used with two hands.'}",8d8+24,"plate, shield"
Hezrou,16,136,30 ft.,19,17,20,5,12,13,"Str +7, Con +8, Wis +4",,poison,"cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons",None,poisoned,darkvision 120 ft.,"Abyssal, telepathy 120 ft.","8 (3,900 XP)","{'Magic Resistance': 'The hezrou has advantage on saving throws against spells and other magical effects.', 'Stench': ""Any creature that starts its turn within 10 feet of the hezrou must succeed on a DC 14 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the hezrou's stench for 24 hours."", 'Multiattack': 'The hezrou makes three attacks: one with its bite and two with its claws.', 'Bite': 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 15 (2d10 + 4) piercing damage.', 'Claws': 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.', 'Variant: Summon Demon (1/Day)': ""The demon chooses what to summon and attempts a magical summoning.\n\nA hezrou has a 30 percent chance of summoning 2d6 dretches or one hezrou.\n\nA summoned demon appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can't summon other demons. It remains for 1 minute, until it or its summoner dies, or until its summoner dismisses it as an action.""}",13d10+65,natural armor
Hill Giant,13,105,40 ft.,21,8,19,5,9,6,,Perception +2,None,None,None,None,,Giant,"5 (1,800 XP)","{'Squash': ""Melee Weapon Attack: +8 to hit, reach 5 ft., one Medium or Smaller creature. Hit: 26 (6d6 + 5) bludgeoning damage, the giant lands prone in the target's space, and the target is grappled (escape DC 15). Until this grapple ends, the target is prone. The grapple ends early if the giant stands up."", 'Multiattack': 'The giant makes two greatclub attacks.', 'Greatclub': 'Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 18 (3d8 + 5) bludgeoning damage.', 'Rock': 'Ranged Weapon Attack: +8 to hit, range 60/240 ft., one target. Hit: 21 (3d10 + 5) bludgeoning damage.'}",10d12+40,natural armor
Hippogriff,11,19,"40 ft, fly 60 ft.",17,13,13,2,12,8,,Perception +5,None,None,None,None,,,1 (200 XP),"{'Keen Sight': 'The hippogriff has advantage on Wisdom (Perception) checks that rely on sight.', 'Multiattack': 'The hippogriff makes two attacks: one with its beak and one with its claws.', 'Beak': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage.', 'Claws': 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.'}",3d10+3,None
Hobgoblin,18,11,30 ft.,13,12,12,10,10,9,,,None,None,None,None,darkvision 60 ft.,"Common, Goblin",1/2 (100 XP),"{'Martial Advantage': ""Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn't incapacitated."", 'Longsword': 'Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage, or 6 (1d10 + 1) slashing damage if used with two hands.', 'Longbow': 'Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. Hit: 5 (1d8 + 1) piercing damage.'}",2d8+2,"chain mail, shield"
Hobgoblin Captain,17,39,30 ft.,15,14,14,12,10,13,,,None,None,None,None,darkvision 60 ft.,"Common, Goblin",3 (700 XP),"{'Martial Advantage': ""Once per turn, the hobgoblin can deal an extra 10 (3d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn't incapacitated."", 'Multiattack': 'The hobgoblin makes two greatsword attacks.', 'Greatsword': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.', 'Javelin': 'Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.', 'Leadership (Recharges after a Short or Long Rest)': 'For 1 minute, the hobgoblin can utter a special command or warning whenever a nonhostile creature that it can see within 30 ft. of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the hobgoblin. A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated.'}",6d8+12,half plate
Hobgoblin Devastator,13,45,30 ft.,13,12,14,16,13,11,,Arcana +5,None,None,None,None,darkvision 60 ft.,"Common, Goblin","4 (1,100 XP)","{'Source': ""Volo's Guide to Monsters, p. 161"", 'Arcane Advantage': ""Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a damaging spell attack if that target is within 5 feet of an ally of the hobgoblin and that ally isn't incapacitated."", 'Army Arcane': 'When the hobgoblin casts a spell that causes damage or that forces other creatures to make a saving throw, it can choose itself and any number of allies to be immune to the damage caused by the spell and to succeed on the required saving throw.', 'Spellcasting': ""The hobgoblin is a 7th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 13, +5 to hit with spell attacks). It has the following wizard spells prepared:\n\nCantrips (at will): acid splash, fire bolt, ray of frost, shocking grasp\n\n1st level (4 slots): fog cloud, magic missile, thunderwave\n\n2nd level (3 slots): gust of wind, Melf's acid arrow, scorching ray\n\n3rd level (3 slots): fireball, fly, lightning bolt\n\n4th level (1 slot): ice storm"", 'Quarterstaff': ""Melee Weapon Attack: +3 to hit, reach 5 ft, one target. Hit: 4 (1d6+1) bludgeoning damage, or 5 (1d8+1) bludgeoning damage if used with two hands.\n\nSource:Volo's Guide to Monsters""}",7d8+14,studded leather armor
Hobgoblin Iron Shadow,15,32,40 ft.,14,16,15,14,15,11,,"Acrobatics +5, Athletics +4, Stealth +5",None,None,None,None,darkvision 60 ft.,"Common, Goblin",2 (450 XP),"{'Spellcasting': 'The hobgoblin is a 2nd-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 12, +4 to hit with spell attacks). It has the following wizard spells prepared:\n\nCantrips (at will): minor illusion, prestidigitation, true strike\n\n1st level (3 slots): charm person, disguise self, expeditious retreat, silent image', 'Unarmored Defense': 'While the hobgoblin is wearing no armor and wielding no shield, its AC includes its Wisdom modifier.', 'Multiattack': 'The hobgoblin makes four attacks, each of which can be an unarmed strike or a dart attack. It can also use Shadow Jaunt once, either before or after one of the attacks.', 'Unarmed Strike': 'Melee Weapon Attack: +5 to hit, reach 5 it, one target. Hit: 5 (1d4+3) bludgeoning damage.', 'Dart': 'Ranged Weapon Attack: +5 to hit, range 20/60 it, one target. Hit: 5 (1d4+3) piercing damage.', 'Shadow Jaunt': ""The hobgoblin magically teleports, along with any equipment it is wearing or carrying, up to 30 feet to an unoccupied space it can see. Both the space it is leaving and its destination must be in dim light or darkness.\n\nSource:Volo's Guide to Monsters""}",5d8+10,None
Hobgoblin Warlord,20,97,30 ft.,16,14,16,14,11,15,"Int +5, Wis +3, Cha +5",,None,None,None,None,darkvision 60 ft.,"Common, Goblin","6 (2,300 XP)","{'Martial Advantage': ""Once per turn, the hobgoblin can deal an extra 14 (4d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn't incapacitated."", 'Multiattack': 'The hobgoblin makes three melee attacks. Alternatively, it can make two ranged attacks with its javelins.', 'Longsword': 'Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands.', 'Shield Bash': 'Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) bludgeoning damage. If the target is Large or smaller, it must succeed on a DC 14 Strength saving throw or be knocked prone.', 'Javelin': 'Melee or Ranged Weapon Attack: +9 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage.', 'Leadership (Recharges after a Short or Long Rest)': 'For 1 minute, the hobgoblin can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the hobgoblin. A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated.', 'Parry': 'The hobgoblin adds 3 to its AC against one melee attack that would hit it. To do so, the hobgoblin must see the attacker and be wielding a melee weapon.'}",13d8+39,"plate, shield"
Homunculus,13,5,"20 ft., fly 40 ft.",4,15,11,10,10,7,,,poison,None,None,"charmed, poisoned",darkvision 60 ft.,understands the languages of its creator but can't speak,0 (10 XP),"{'Telepathic Bond': 'While the homunculus is on the same plane of existence as its master, it can magically convey what it senses to its master, and the two can communicate telepathically.', 'Bite': 'Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must succeed on a DC 10 Constitution saving throw or be poisoned for 1 minute. If the saving throw fails by 5 or more, the target is instead poisoned for 5 (1d10) minutes and unconscious while poisoned in this way.'}",2d4,natural armor
